time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-09-30T15:46:35.900Z,35.9698,-97.2181,7.307,2.8,ml,,83,,0.7,us,us10003jay,2015-10-02T04:33:56.306Z,"4km NE of Langston, Oklahoma",earthquake
2015-09-30T15:43:20.200Z,36.2801,-97.5137,5,2.9,ml,,61,,0.42,us,us10003j3e,2015-10-02T04:29:09.050Z,"20km W of Perry, Oklahoma",earthquake
2015-09-30T14:55:37.300Z,18.1245,-68.1656,142,3.8,Md,7,334.8,1.01060469,0.25,pr,pr15273002,2015-09-30T22:58:10.703Z,"54km ESE of Boca de Yuma, Dominican Republic",earthquake
2015-09-30T14:32:30.980Z,8.4446,-103.4312,10,4.5,mb,,199,10.226,0.8,us,us10003j38,2015-09-30T22:35:18.786Z,"Northern East Pacific Rise",earthquake
2015-09-30T13:33:35.500Z,36.7005,-98.652,4.914,2.6,ml,,137,,0.25,us,us10003j33,2015-09-30T21:36:09.423Z,"11km S of Alva, Oklahoma",earthquake
2015-09-30T13:29:18.800Z,40.4131667,-125.3238333,10.54,2.52,md,18,295,0.7995,0.28,nc,nc72533226,2015-10-01T03:43:37.418Z,"91km W of Ferndale, California",earthquake
2015-09-30T13:06:07.300Z,19.5515,-66.351,60,3.3,Md,3,313.2,1.25584477,0.12,pr,pr15273001,2015-09-30T21:08:42.886Z,"120km N of Brenas, Puerto Rico",earthquake
2015-09-30T09:07:15.920Z,31.3687,141.9096,6.52,4.7,mb,,124,2.487,0.6,us,us10003j2d,2015-09-30T17:09:53.517Z,"275km SE of Hachijo-jima, Japan",earthquake
2015-09-30T09:05:23.670Z,37.248,-97.5556667,5.08,2.62,ml,22,125,0.01827,0.07,ismpkansas,ismpkansas70140008,2015-10-02T06:53:16.277Z,"16km W of Wellington, Kansas",earthquake
2015-09-30T08:28:18.890Z,36.703,-98.3282,8.22,3,mb_lg,,137,0.138,0.74,us,us10003j29,2015-09-30T13:09:27.927Z,"6km SSE of Cherokee, Oklahoma",earthquake
